Statistic Label,Month,Airport,VALUE,Year
Passengers,2022 September,Knock,73765.0,2022
Passengers,2022 September,Kerry,36563.0,2022
Passengers,2022 October,Dublin,2689961.0,2022
Passengers,2022 October,Cork,205807.0,2022
Passengers,2022 October,Shannon,133549.0,2022
Passengers,2022 October,Knock,73188.0,2022
Passengers,2022 October,Kerry,36143.0,2022
Passengers,2022 November,Dublin,2194199.0,2022
Passengers,2022 November,Cork,166913.0,2022
Passengers,2022 November,Shannon,115403.0,2022
Passengers,2022 November,Knock,48705.0,2022
Passengers,2022 November,Kerry,25883.0,2022
Passengers,2022 December,Dublin,2189186.0,2022
Passengers,2022 December,Cork,164391.0,2022
Passengers,2022 December,Shannon,118820.0,2022
Passengers,2022 December,Knock,48643.0,2022
Passengers,2022 December,Kerry,28019.0,2022
Passengers,2023 January,Dublin,2091443.0,2023
Passengers,2023 January,Cork,160857.0,2023
Passengers,2023 January,Shannon,105259.0,2023
Passengers,2023 January,Knock,37639.0,2023
Passengers,2023 January,Kerry,21563.0,2023
Passengers,2023 February,Dublin,2038737.0,2023
Passengers,2023 February,Cork,157329.0,2023
Passengers,2023 February,Shannon,96916.0,2023
Passengers,2023 February,Knock,43812.0,2023
Passengers,2023 February,Kerry,24612.0,2023
Passengers,2023 March,Dublin,2459390.0,2023
Passengers,2023 March,Cork,180655.0,2023
Passengers,2023 March,Shannon,126318.0,2023
Passengers,2023 March,Knock,51206.0,2023
Passengers,2023 March,Kerry,26172.0,2023
Passengers,2023 April,Dublin,2811699.0,2023
Passengers,2023 April,Cork,249691.0,2023
Passengers,2023 April,Shannon,171325.0,2023
Passengers,2023 April,Knock,76913.0,2023
Passengers,2023 April,Kerry,40955.0,2023
Passengers,2023 May,Dublin,3027112.0,2023
Passengers,2023 May,Cork,262358.0,2023
Passengers,2023 May,Shannon,178919.0,2023
Passengers,2023 May,Knock,71170.0,2023
Passengers,2023 May,Kerry,40825.0,2023
Passengers,2023 June,Dublin,3218315.0,2023
Passengers,2023 June,Cork,279671.0,2023
Passengers,2023 June,Shannon,196179.0,2023
Passengers,2023 June,Knock,81927.0,2023
Passengers,2023 June,Kerry,35828.0,2023
Passengers,2023 July,Dublin,3425253.0,2023
Passengers,2023 July,Cork,300228.0,2023
Passengers,2023 July,Shannon,,2023
Passengers,2023 July,Knock,91189.0,2023
Passengers,2023 July,Kerry,45902.0,2023
Passengers,2023 August,Dublin,3419986.0,2023
Passengers,2023 August,Cork,307117.0,2023
Passengers,2023 August,Shannon,,2023
Passengers,2023 August,Knock,101736.0,2023
Passengers,2023 August,Kerry,,2023
